equipment_id,inventory_number,name,category,model,serial_number,status,location_id,purchase_date,warranty_end_date,last_maintenance_date,next_maintenance_date,responsible_person_id,created_at
EQ0001,INV-24-0001,Холодильник #001,Холодильник,Atesy CF,SN-170674,резерв,36,2022-02-16,2025-02-15,2022-05-31,2022-09-03,4,2022-02-16 11:00:00
EQ0002,INV-24-0002,Холодильник #002,Холодильник,Atesy CF,BB-698782,рабочее,16,2021-09-04,2026-09-03,2023-02-14,2023-06-07,5,2021-09-04 09:00:00
EQ0003,INV-24-0003,Датчик #003,Датчик,Omron E3,EL-864491,рабочее,13,2024-11-19,2029-11-18,2025-08-17,2026-02-18,2,2024-11-19 07:00:00
EQ0004,INV-24-0004,Холодильник #004,Холодильник,Бирюса F,SN-542374,рабочее,22,2024-01-13,2027-01-12,2024-10-23,2025-05-05,2,2024-01-13 13:00:00
EQ0005,INV-24-0005,Конвейер #005,Конвейер,Interroll SL2,SN-274389,рабочее,29,2024-11-17,2026-11-17,2025-11-18,2026-03-01,9,2024-11-17 13:00:00
EQ0006,INV-24-0006,Конвейер #006,Конвейер,Krones Flow,EL-543555,рабочее,4,2023-04-21,2025-04-20,2024-08-22,2025-03-06,3,2023-04-21 14:00:00
EQ0007,INV-24-0007,Шкаф управления #007,Шкаф управления,Weidmuller PRO,SN-884309,рабочее,32,2024-05-13,2028-05-12,2024-11-30,2025-07-06,3,2024-05-13 06:00:00
EQ0008,INV-24-0008,Упаковочная машина #008,Упаковочная машина,Ulma FM,SN-723939,рабочее,33,2024-07-18,2026-07-18,2025-07-03,2025-11-07,9,2024-07-18 09:00:00
EQ0009,INV-24-0009,Датчик #009,Датчик,Siemens Sitrans,BB-712024,рабочее,37,2022-03-08,2024-03-07,2025-11-25,2026-05-31,4,2022-03-08 11:00:00
EQ0010,INV-24-0010,Погрузчик #010,Погрузчик,Still RX,BB-776856,рабочее,43,2023-09-01,2026-08-31,2024-08-27,2024-12-18,12,2023-09-01 11:00:00
EQ0011,INV-24-0011,Холодильник #011,Холодильник,Polair PR,BB-378082,рабочее,30,2022-04-09,2024-04-08,2022-12-05,2023-04-18,10,2022-04-09 11:00:00
EQ0012,INV-24-0012,Холодильник #012,Холодильник,Polair PR,BB-946305,рабочее,24,2024-07-17,2029-07-16,2025-09-29,2026-03-05,5,2024-07-17 06:00:00
EQ0013,INV-24-0013,Шкаф управления #013,Шкаф управления,Weidmuller PRO,BB-680097,рабочее,20,2024-11-05,2027-11-05,2025-06-18,2025-10-03,11,2024-11-05 10:00:00
EQ0014,INV-24-0014,Упаковочная машина #014,Упаковочная машина,Ishida Inspira,SN-196781,рабочее,22,2021-07-29,2025-07-28,2024-08-27,2025-01-18,4,2021-07-29 10:00:00
EQ0015,INV-24-0015,Холодильник #015,Холодильник,Polair PR,BB-110139,рабочее,22,2021-11-09,2025-11-08,2023-01-03,2023-07-11,3,2021-11-09 08:00:00
EQ0016,INV-24-0016,Упаковочная машина #016,Упаковочная машина,Ishida Inspira,EL-482364,резерв,24,2022-05-01,2025-04-30,2024-12-26,2025-03-26,10,2022-05-01 06:00:00
EQ0017,INV-24-0017,Погрузчик #017,Погрузчик,Still RX,BB-885884,рабочее,44,2021-09-09,2023-09-09,2023-12-02,2024-06-03,4,2021-09-09 09:00:00
EQ0018,INV-24-0018,Конвейер #018,Конвейер,Interroll SL2,EL-266931,на ремонте,27,2024-06-03,2028-06-02,2025-10-06,2026-02-26,1,2024-06-03 07:00:00
EQ0019,INV-24-0019,Датчик #019,Датчик,Siemens Sitrans,SN-124813,рабочее,31,2024-04-23,2029-04-22,2025-07-15,2025-11-30,4,2024-04-23 12:00:00
EQ0020,INV-24-0020,Погрузчик #020,Погрузчик,Jungheinrich EFG,SN-220944,списано,5,2023-06-17,2028-06-15,2025-08-10,2026-01-21,5,2023-06-17 10:00:00
EQ0021,INV-24-0021,Конвейер #021,Конвейер,Festo Move,BB-636265,рабочее,17,2024-10-26,2029-10-25,2025-07-19,2026-01-26,1,2024-10-26 09:00:00
EQ0022,INV-24-0022,Погрузчик #022,Погрузчик,Still RX,BB-446239,рабочее,28,2022-07-07,2025-07-06,2024-10-19,2025-01-24,1,2022-07-07 07:00:00
EQ0023,INV-24-0023,Шкаф управления #023,Шкаф управления,Siemens SIVACON,BB-233470,рабочее,33,2021-09-09,2026-09-08,2023-10-07,2024-03-10,5,2021-09-09 12:00:00
EQ0024,INV-24-0024,Шкаф управления #024,Шкаф управления,Weidmuller PRO,EL-400850,рабочее,12,2022-03-28,2026-03-27,2024-10-04,2024-12-23,10,2022-03-28 11:00:00
EQ0025,INV-24-0025,Датчик #025,Датчик,Omron E3,BB-796101,рабочее,29,2024-03-25,2029-03-24,2024-12-13,2025-05-14,11,2024-03-25 11:00:00
EQ0026,INV-24-0026,Холодильник #026,Холодильник,Polair PR,SN-598216,рабочее,44,2024-03-02,2027-03-02,2024-10-28,2025-01-27,5,2024-03-02 07:00:00
EQ0027,INV-24-0027,Датчик #027,Датчик,Omron E3,SN-787926,рабочее,41,2024-05-03,2029-05-02,2025-04-11,2025-08-31,10,2024-05-03 07:00:00
EQ0028,INV-24-0028,Датчик #028,Датчик,Siemens Sitrans,SN-578634,рабочее,12,2022-07-11,2027-07-10,2023-01-19,2023-06-11,12,2022-07-11 13:00:00
EQ0029,INV-24-0029,Шкаф управления #029,Шкаф управления,Weidmuller PRO,BB-567574,резерв,36,2023-08-26,2028-08-24,2025-08-12,2026-02-17,10,2023-08-26 13:00:00
EQ0030,INV-24-0030,Датчик #030,Датчик,Omron E3,EL-181247,на ремонте,16,2023-11-16,2028-11-14,2025-11-07,2026-04-06,11,2023-11-16 09:00:00
EQ0031,INV-24-0031,Погрузчик #031,Погрузчик,Jungheinrich EFG,BB-260227,на ремонте,21,2024-12-22,2027-12-22,2025-06-07,2025-12-02,9,2024-12-22 07:00:00
EQ0032,INV-24-0032,Датчик #032,Датчик,Omron E3,EL-907189,рабочее,22,2022-10-25,2027-10-24,2023-05-30,2023-12-03,9,2022-10-25 06:00:00
EQ0033,INV-24-0033,Упаковочная машина #033,Упаковочная машина,Ulma FM,BB-883826,на ремонте,31,2020-02-22,2024-02-21,2022-01-23,2022-07-29,1,2020-02-22 09:00:00
EQ0034,INV-24-0034,Датчик #034,Датчик,Siemens Sitrans,BB-273061,списано,18,2022-09-15,2024-09-14,2025-02-17,2025-08-19,7,2022-09-15 08:00:00
EQ0035,INV-24-0035,Упаковочная машина #035,Упаковочная машина,Bosch Pack,EL-290556,рабочее,2,2022-02-09,2024-02-09,2022-10-28,2023-02-19,7,2022-02-09 12:00:00
EQ0036,INV-24-0036,Погрузчик #036,Погрузчик,Still RX,SN-593152,рабочее,30,2023-07-15,2028-07-13,2024-07-23,2024-12-14,6,2023-07-15 14:00:00
EQ0037,INV-24-0037,Холодильник #037,Холодильник,Бирюса F,SN-979995,рабочее,15,2025-01-16,2027-01-16,2025-10-26,2026-03-18,11,2025-01-16 08:00:00
EQ0038,INV-24-0038,Конвейер #038,Конвейер,Interroll SL2,SN-735324,рабочее,31,2024-10-14,2027-10-14,2025-09-07,2026-02-28,11,2024-10-14 07:00:00
EQ0039,INV-24-0039,Конвейер #039,Конвейер,Krones Flow,BB-307963,рабочее,7,2025-04-14,2029-04-13,2025-10-20,2026-04-19,10,2025-04-14 09:00:00
EQ0040,INV-24-0040,Холодильник #040,Холодильник,Atesy CF,BB-549186,рабочее,20,2022-01-23,2024-01-23,2025-06-25,2025-12-10,11,2022-01-23 07:00:00
EQ0041,INV-24-0041,Упаковочная машина #041,Упаковочная машина,Bosch Pack,EL-479781,рабочее,22,2020-08-31,2025-08-30,2025-07-10,2025-10-25,1,2020-08-31 13:00:00
EQ0042,INV-24-0042,Шкаф управления #042,Шкаф управления,Schneider Prisma,EL-556732,списано,28,2021-04-25,2025-04-24,2025-01-05,2025-07-27,3,2021-04-25 10:00:00
